carrera;carrera;valor
c1;IV;0
c1;RM;0
c1;V;1
c1;VI;0
c1;VII;0
c1;VIII;0
c1;XIV;0
c2;IV;0
c2;RM;0
c2;V;1
c2;VI;0
c2;VII;0
c2;VIII;0
c2;XIV;0
c3;IV;0
c3;RM;0
c3;V;1
c3;VI;0
c3;VII;0
c3;VIII;0
c3;XIV;0
c4;IV;0
c4;RM;0
c4;V;1
c4;VI;0
c4;VII;0
c4;VIII;0
c4;XIV;0
c5;IV;0
c5;RM;0
c5;V;1
c5;VI;0
c5;VII;0
c5;VIII;0
c5;XIV;0
c6;IV;0
c6;RM;0
c6;V;1
c6;VI;0
c6;VII;0
c6;VIII;0
c6;XIV;0
c7;IV;0
c7;RM;0
c7;V;1
c7;VI;0
c7;VII;0
c7;VIII;0
c7;XIV;0
c8;IV;0
c8;RM;0
c8;V;1
c8;VI;0
c8;VII;0
c8;VIII;0
c8;XIV;0
c9;IV;0
c9;RM;0
c9;V;0
c9;VI;0
c9;VII;0
c9;VIII;0
c9;XIV;0
c10;IV;0
c10;RM;0
c10;V;1
c10;VI;0
c10;VII;0
c10;VIII;0
c10;XIV;0
