carrera;lugar;valor
c1;IV/L0;0
c1;RM/L0;0
c1;RM/L1;0
c1;RM/L2;0
c1;RM/L3;0
c1;V/L0;1
c1;V/L1;0
c1;V/L2;0
c1;V/L3;0
c1;VI/L0;0
c1;VI/L1;0
c1;VI/L2;0
c1;VI/L3;0
c1;VII/L0;0
c1;VII/L1;0
c1;VII/L2;0
c1;VII/L3;0
c1;VIII/L0;0
c1;VIII/L1;0
c1;XIV/L0;0
c2;IV/L0;0
c2;RM/L0;0
c2;RM/L1;0
c2;RM/L2;0
c2;RM/L3;0
c2;V/L0;1
c2;V/L1;0
c2;V/L2;0
c2;V/L3;0
c2;VI/L0;0
c2;VI/L1;0
c2;VI/L2;0
c2;VI/L3;0
c2;VII/L0;0
c2;VII/L1;0
c2;VII/L2;0
c2;VII/L3;0
c2;VIII/L0;0
c2;VIII/L1;0
c2;XIV/L0;0
c3;IV/L0;0
c3;RM/L0;0
c3;RM/L1;0
c3;RM/L2;0
c3;RM/L3;0
c3;V/L0;1
c3;V/L1;0
c3;V/L2;0
c3;V/L3;0
c3;VI/L0;0
c3;VI/L1;0
c3;VI/L2;0
c3;VI/L3;0
c3;VII/L0;0
c3;VII/L1;0
c3;VII/L2;0
c3;VII/L3;0
c3;VIII/L0;0
c3;VIII/L1;0
c3;XIV/L0;0
c4;IV/L0;0
c4;RM/L0;0
c4;RM/L1;0
c4;RM/L2;0
c4;RM/L3;0
c4;V/L0;1
c4;V/L1;0
c4;V/L2;0
c4;V/L3;0
c4;VI/L0;0
c4;VI/L1;0
c4;VI/L2;0
c4;VI/L3;0
c4;VII/L0;0
c4;VII/L1;0
c4;VII/L2;0
c4;VII/L3;0
c4;VIII/L0;0
c4;VIII/L1;0
c4;XIV/L0;0
c5;IV/L0;0
c5;RM/L0;0
c5;RM/L1;0
c5;RM/L2;0
c5;RM/L3;0
c5;V/L0;1
c5;V/L1;0
c5;V/L2;0
c5;V/L3;0
c5;VI/L0;0
c5;VI/L1;0
c5;VI/L2;0
c5;VI/L3;0
c5;VII/L0;0
c5;VII/L1;0
c5;VII/L2;0
c5;VII/L3;0
c5;VIII/L0;0
c5;VIII/L1;0
c5;XIV/L0;0
c6;IV/L0;0
c6;RM/L0;0
c6;RM/L1;0
c6;RM/L2;0
c6;RM/L3;0
c6;V/L0;1
c6;V/L1;0
c6;V/L2;0
c6;V/L3;0
c6;VI/L0;0
c6;VI/L1;0
c6;VI/L2;0
c6;VI/L3;0
c6;VII/L0;0
c6;VII/L1;0
c6;VII/L2;0
c6;VII/L3;0
c6;VIII/L0;0
c6;VIII/L1;0
c6;XIV/L0;0
c7;IV/L0;0
c7;RM/L0;0
c7;RM/L1;0
c7;RM/L2;0
c7;RM/L3;0
c7;V/L0;1
c7;V/L1;0
c7;V/L2;0
c7;V/L3;0
c7;VI/L0;0
c7;VI/L1;0
c7;VI/L2;0
c7;VI/L3;0
c7;VII/L0;0
c7;VII/L1;0
c7;VII/L2;0
c7;VII/L3;0
c7;VIII/L0;0
c7;VIII/L1;0
c7;XIV/L0;0
c8;IV/L0;0
c8;RM/L0;0
c8;RM/L1;0
c8;RM/L2;0
c8;RM/L3;0
c8;V/L0;1
c8;V/L1;0
c8;V/L2;0
c8;V/L3;0
c8;VI/L0;0
c8;VI/L1;0
c8;VI/L2;0
c8;VI/L3;0
c8;VII/L0;0
c8;VII/L1;0
c8;VII/L2;0
c8;VII/L3;0
c8;VIII/L0;0
c8;VIII/L1;0
c8;XIV/L0;0
c9;IV/L0;0
c9;RM/L0;0
c9;RM/L1;0
c9;RM/L2;0
c9;RM/L3;0
c9;V/L0;1
c9;V/L1;0
c9;V/L2;0
c9;V/L3;0
c9;VI/L0;0
c9;VI/L1;0
c9;VI/L2;0
c9;VI/L3;0
c9;VII/L0;0
c9;VII/L1;0
c9;VII/L2;0
c9;VII/L3;0
c9;VIII/L0;0
c9;VIII/L1;0
c9;XIV/L0;0
c10;IV/L0;0
c10;RM/L0;0
c10;RM/L1;0
c10;RM/L2;0
c10;RM/L3;0
c10;V/L0;1
c10;V/L1;0
c10;V/L2;0
c10;V/L3;0
c10;VI/L0;0
c10;VI/L1;0
c10;VI/L2;0
c10;VI/L3;0
c10;VII/L0;0
c10;VII/L1;0
c10;VII/L2;0
c10;VII/L3;0
c10;VIII/L0;0
c10;VIII/L1;0
c10;XIV/L0;0
